id,date_europe_rome,date_gmt,title,original_url,old_urls,categories,tags,language,attachments,missing,featured_image,content_file
arstechnica-tor2we,2008-12-15 01:00:03,2008-12-15T00:00:03Z,"ArsTechnica, “tor2web brings anonymous Tor sites to the “regular” web”",https://www.hermescenter.org/arstechnica-tor2we/,,News; Press,,EN,0,0,,data/posts/arstechnica-tor2we/content.html
26012011-forbes-globaleaks-wants-to-be-the-bittorrent-to-wikileaks-napster,2011-01-26 13:42:37,2011-01-26T12:42:37Z,"Forbes, GlobaLeaks Wants To Be The Bittorrent To WikiLeaks’ Napster",https://www.hermescenter.org/26012011-forbes-globaleaks-wants-to-be-the-bittorrent-to-wikileaks-napster/,,News; Press,,EN,1,0,,data/posts/26012011-forbes-globaleaks-wants-to-be-the-bittorrent-to-wikileaks-napster/content.html
lastampait-globaleaks-ok,2011-04-22 15:48:06,2011-04-22T13:48:06Z,"LaStampa.it, Globaleaks OK",https://www.hermescenter.org/lastampait-globaleaks-ok/,,News; Press,,?,0,0,,data/posts/lastampait-globaleaks-ok/content.html
e-privacy-il-progetto-globaleaks-una-breve-introduzione,2011-06-03 02:00:59,2011-06-03T00:00:59Z,"e-Privacy, Il  Progetto Globaleaks, una breve introduzione",https://www.hermescenter.org/e-privacy-il-progetto-globaleaks-una-breve-introduzione/,,News; Press,,IT,0,0,,data/posts/e-privacy-il-progetto-globaleaks-una-breve-introduzione/content.html
memeburn-the-other-wikileaks-8-whistleblowing-sites-you-probably-dont-know-about,2011-06-14 14:28:46,2011-06-14T12:28:46Z,"Memeburn, The other WikiLeaks: 8 whistleblowing sites you probably don’t know about",https://www.hermescenter.org/memeburn-the-other-wikileaks-8-whistleblowing-sites-you-probably-dont-know-about/,,News; Press,,EN,0,0,,data/posts/memeburn-the-other-wikileaks-8-whistleblowing-sites-you-probably-dont-know-about/content.html
golem-de-quelloffene-whistleblower-plattform-angekundigt,2011-08-23 02:00:41,2011-08-23T00:00:41Z,"Golem.de, Quelloffene Whistleblower-Plattform angekündigt",https://www.hermescenter.org/golem-de-quelloffene-whistleblower-plattform-angekundigt/,,News; Press,,EN,0,0,,data/posts/golem-de-quelloffene-whistleblower-plattform-angekundigt/content.html
la-stampa-e-nato-globaleaks-org-un-nuovo-sito-per-creare-tanti-wikileaks-a-costo-zero,2011-09-06 02:00:31,2011-09-06T00:00:31Z,"La Stampa, E’ nato Globaleaks.org un nuovo sito per creare tanti Wikileaks a costo zero",https://www.hermescenter.org/la-stampa-e-nato-globaleaks-org-un-nuovo-sito-per-creare-tanti-wikileaks-a-costo-zero/,,News; Press,,IT,0,0,,data/posts/la-stampa-e-nato-globaleaks-org-un-nuovo-sito-per-creare-tanti-wikileaks-a-costo-zero/content.html
punto-informatico-globaleaks-oltre-wikileaks,2011-09-07 15:28:28,2011-09-07T13:28:28Z,"Punto Informatico, Globaleaks, oltre Wikileaks",https://www.hermescenter.org/punto-informatico-globaleaks-oltre-wikileaks/,,News; Press,,IT,0,0,,data/posts/punto-informatico-globaleaks-oltre-wikileaks/content.html
new-america-foundation-new-tools-for-todays-investigative-journalist,2011-10-14 22:21:50,2011-10-14T20:21:50Z,"New America Foundation, New Tools for Today’s Investigative Journalist",https://www.hermescenter.org/new-america-foundation-new-tools-for-todays-investigative-journalist/,,News; Press,,EN,0,0,,data/posts/new-america-foundation-new-tools-for-todays-investigative-journalist/content.html
x-congresso-radicali-italiani-globaleaks,2011-10-30 22:50:20,2011-10-30T21:50:20Z,"X Congresso dei Radicali Italiani,  Globaleaks",https://www.hermescenter.org/x-congresso-radicali-italiani-globaleaks/,,News; Press,,EN,0,0,,data/posts/x-congresso-radicali-italiani-globaleaks/content.html
